,age,sex,credit_amount,duration,foreign_worker_,class
421,30,male,2028,12,yes,1
986,33,male,6289,42,yes,1
361,37,male,3399,12,yes,1
34,33,male,1474,12,yes,1
416,33,male,2579,12,yes,0
706,24,male,6560,48,yes,0
237,61,male,2767,21,yes,0
566,36,male,1372,12,yes,0
795,22,male,2301,9,yes,1
640,27,male,750,18,yes,0
622,38,male,3914,48,yes,0
873,24,male,874,15,yes,1
679,26,male,1453,18,yes,1
81,47,male,1213,15,yes,1
111,23,male,392,15,yes,1
974,33,male,2831,30,yes,1
448,55,male,1424,12,yes,1
893,34,male,5800,36,yes,1
668,43,male,4843,12,yes,0
670,27,male,4139,24,yes,1
665,27,male,6314,24,yes,1
304,44,male,10127,48,yes,0
887,23,male,15672,48,yes,0
72,51,male,1164,8,yes,1
582,26,male,1388,9,yes,1
397,46,male,2348,36,yes,1
476,24,male,2569,39,yes,1
600,45,male,2329,7,yes,1
146,39,male,860,6,yes,1
598,31,male,2775,18,yes,0
881,48,male,9277,24,yes,1
68,37,male,1819,36,yes,0
334,23,male,4110,24,yes,0
172,34,male,2064,24,yes,0
42,44,male,6204,18,yes,1
206,43,male,1935,12,yes,1
517,23,male,7127,36,yes,0
935,30,male,1919,30,yes,0
240,29,male,915,24,yes,0
894,29,male,1169,18,yes,1
623,22,male,1858,12,yes,1
209,55,male,1413,12,no,1
784,60,male,6468,20,yes,1
990,37,male,3565,12,yes,1
589,60,male,2246,12,yes,0
763,30,male,12680,21,yes,0
626,41,male,2116,6,yes,1
996,40,male,3857,30,yes,1
723,66,male,790,9,yes,1
364,25,male,2473,18,yes,0
888,34,male,6614,36,yes,1
372,23,male,2146,10,yes,1
478,39,male,1037,12,yes,1
757,39,male,1271,15,yes,0
129,29,male,3499,12,yes,0
642,40,male,4623,15,yes,0
227,53,male,7865,12,yes,0
803,35,male,976,12,yes,1
221,23,male,1200,12,yes,1
927,39,male,10297,48,yes,0
961,47,male,2353,21,yes,1
858,29,male,3959,15,yes,0
121,41,male,3868,24,yes,1
242,24,male,4605,48,yes,0
171,26,male,763,12,yes,1
289,48,male,1024,24,yes,0
284,37,male,3878,24,yes,1
753,25,male,5771,30,yes,1
218,24,male,3021,24,yes,1
980,49,male,8386,30,yes,0
979,25,male,1264,15,yes,0
160,36,male,2872,24,yes,1
105,39,male,11938,24,yes,0
18,44,male,12579,24,yes,0
774,66,male,1480,12,yes,1
716,40,male,3077,30,yes,1
37,37,male,2100,18,yes,0
816,62,male,1338,6,yes,1
499,28,male,1323,6,yes,1
482,57,male,3622,30,yes,1
332,24,male,7408,60,yes,0
150,42,male,1346,6,yes,1
583,33,male,2384,36,yes,0
78,39,male,9436,54,yes,1
602,34,male,1837,24,yes,0
520,44,male,5507,24,yes,1
920,28,male,1817,18,yes,1
283,63,male,1520,15,yes,1
949,31,male,3621,24,yes,0
101,24,male,2323,36,yes,1
232,35,male,2141,12,yes,1
253,35,male,4151,24,yes,1
534,25,male,3105,24,yes,1
813,54,male,3051,48,yes,0
608,33,male,2051,18,yes,1
488,35,male,1418,10,no,1
916,32,male,2848,10,yes,1
719,31,male,6148,20,yes,1
89,28,male,1108,12,yes,0
917,68,male,14896,6,yes,0
885,53,male,795,12,yes,0
794,32,male,3062,24,yes,1
387,40,male,7374,18,yes,1
410,20,male,1967,24,yes,1
58,23,male,1961,18,yes,1
849,57,male,709,12,yes,0
438,65,male,3394,42,yes,1
551,45,male,1750,6,yes,1
17,25,male,8072,30,yes,1
505,27,male,1309,10,yes,0
843,50,male,1559,24,yes,1
728,59,male,6416,48,yes,0
632,23,male,1444,15,yes,1
889,40,male,7824,28,yes,1
313,25,male,685,12,yes,0
565,23,male,1553,24,yes,1
88,30,male,2249,18,yes,1
707,25,male,2969,12,yes,0
393,31,male,1957,6,yes,1
108,30,male,7721,24,no,1
950,40,male,3590,18,yes,1
54,57,male,2225,36,yes,0
912,25,male,2991,30,yes,1
618,21,male,3441,30,yes,0
703,41,male,2503,30,yes,1
5,35,male,9055,36,yes,1
578,27,male,2820,36,yes,0
919,39,male,3345,24,yes,0
350,23,male,1236,9,yes,1
239,39,male,2522,30,yes,1
695,50,male,1236,6,yes,1
84,52,male,2315,10,yes,1
345,43,male,1459,15,yes,1
102,24,male,932,6,yes,1
780,25,male,4933,39,yes,0
336,23,male,2101,13,yes,1
655,22,male,3973,14,yes,1
725,41,male,250,6,yes,1
450,30,male,11054,36,yes,1
992,23,male,1936,18,yes,1
507,34,male,6850,15,yes,0
322,34,male,2910,24,yes,1
689,31,male,3651,12,yes,1
856,40,male,894,10,yes,1
466,29,male,1659,24,yes,0
358,28,male,776,12,yes,1
541,60,male,2032,24,yes,1
522,53,male,7119,48,yes,0
821,24,male,3016,12,yes,1
30,36,male,1913,18,yes,1
901,44,male,3485,20,yes,1
213,66,male,1908,30,yes,0
483,30,male,960,15,yes,1
976,64,male,753,6,yes,1
264,32,male,1231,10,no,1
425,21,male,2779,18,yes,1
9,28,male,5234,30,yes,0
932,30,male,1224,9,yes,1
903,40,male,1386,15,yes,1
384,26,male,4272,30,yes,1
145,30,male,3566,48,yes,1
609,45,male,1300,15,yes,1
521,24,male,3190,18,yes,0
545,43,male,1333,24,yes,0
93,20,male,3617,24,yes,1
595,32,male,931,6,yes,0
420,20,male,3186,15,yes,1
233,25,male,866,18,yes,1
258,23,male,3812,15,yes,1
441,30,male,1620,12,yes,1
359,23,male,2406,30,yes,0
734,37,male,3380,4,yes,1
161,30,male,1055,18,yes,1
423,34,male,1591,21,yes,1
908,46,male,3594,15,yes,1
254,24,male,2030,9,yes,1
90,56,male,618,12,yes,1
764,27,male,2463,24,yes,1
79,22,male,3832,30,yes,1
453,35,male,2670,24,yes,1
502,49,male,1126,9,yes,1
675,26,male,4530,30,yes,1
530,32,male,2273,36,yes,1
847,28,male,1249,24,yes,1
191,34,male,3844,48,yes,0
149,46,male,1582,18,yes,1
473,36,male,1238,6,yes,1
189,33,male,3244,18,yes,1
287,31,male,7582,48,yes,1
223,32,male,2978,24,yes,1
202,26,male,5117,27,yes,1
343,33,male,4439,18,yes,1
943,42,male,1455,4,yes,1
3,45,male,7882,42,yes,1
900,43,male,2625,16,yes,0
349,32,male,1136,9,yes,0
437,37,male,1287,24,yes,1
270,32,male,2662,18,no,1
682,33,male,1478,15,yes,1
748,26,male,5248,21,yes,1
593,20,male,2718,24,yes,0
944,46,male,1845,15,yes,1
830,44,male,2375,24,yes,1
860,27,male,5804,24,yes,1
148,28,male,5371,36,yes,1
417,23,male,8471,18,yes,1
124,27,male,1924,18,yes,0
801,48,male,1795,18,yes,1
811,28,male,484,6,yes,1
298,43,male,2515,18,yes,1
196,28,male,1382,6,yes,1
604,23,male,1275,10,yes,1
819,26,male,1345,18,yes,0
749,33,male,3029,15,yes,1
140,27,male,709,6,no,1
988,29,male,6579,24,yes,1
685,34,male,6527,60,yes,1
937,30,male,2063,6,yes,1
740,32,male,2325,24,yes,1
419,33,male,1042,18,yes,0
852,35,male,1471,15,yes,1
113,25,male,7855,36,yes,0
739,26,male,4280,30,yes,0
216,31,male,3104,18,yes,1
369,40,male,3001,18,yes,1
241,51,male,1595,6,yes,1
174,26,male,3414,21,yes,0
344,37,male,3949,10,yes,1
601,30,male,918,9,yes,0
267,38,male,1533,24,yes,1
62,61,male,1953,36,yes,0
934,23,male,1498,12,yes,1
731,21,male,1987,24,yes,0
899,42,male,4153,18,yes,0
107,32,male,6078,12,yes,1
126,40,male,701,12,yes,1
373,63,male,13756,60,yes,1
85,29,male,1412,12,yes,1
895,31,male,8947,36,yes,1
98,36,male,2337,36,yes,1
953,26,male,10974,36,yes,0
490,26,male,1934,12,yes,1
646,32,male,4583,30,yes,1
591,42,male,1965,24,yes,1
848,59,male,1364,9,yes,1
353,28,male,6199,12,yes,0
710,32,male,629,18,yes,1
168,25,male,3972,24,yes,1
756,74,male,1299,6,no,1
226,27,male,10961,48,yes,0
761,24,male,2124,18,yes,0
957,37,male,1154,9,yes,1
203,21,male,902,12,yes,0
43,24,male,6187,30,yes,1
249,22,male,433,18,yes,0
701,46,male,6331,48,yes,0
74,40,male,1977,36,yes,0
156,48,male,1288,9,no,1
503,38,male,1216,24,yes,0
693,44,male,4716,6,yes,1
182,40,male,1647,21,yes,0
279,29,male,1901,24,yes,1
762,24,male,2214,12,yes,1
614,22,male,1808,18,yes,0
775,25,male,1371,24,yes,0
825,30,male,1602,21,yes,1
645,27,male,7980,36,yes,0
484,44,male,1163,12,yes,1
533,26,male,1311,24,yes,1
837,23,male,601,4,yes,1
766,31,male,3108,30,yes,0
225,27,male,2613,36,yes,1
525,30,male,7966,26,yes,1
275,32,male,2697,9,yes,1
110,31,male,1449,6,yes,1
177,52,male,338,6,yes,1
691,25,male,2631,15,yes,1
787,38,male,2751,48,yes,1
592,36,male,1572,21,yes,1
439,26,male,609,12,yes,0
144,23,male,2288,21,yes,1
176,42,male,2577,12,yes,1
612,29,male,3357,21,yes,1
266,36,male,6304,36,yes,1
487,62,male,3757,24,yes,1
83,58,male,1755,24,yes,1
398,46,male,1223,12,yes,0
485,47,male,1209,6,yes,0
671,31,male,5742,36,yes,1
708,25,male,1206,9,yes,1
40,30,male,2333,30,yes,1
678,64,male,2384,24,yes,1
445,41,male,1244,9,yes,1
66,29,male,2171,12,yes,1
846,68,male,6761,18,yes,0
312,26,male,3749,24,yes,1
137,66,male,766,12,yes,0
39,24,male,458,9,yes,1
163,70,male,7308,10,yes,1
94,54,male,1318,12,yes,1
118,23,male,4281,33,yes,0
845,35,male,3976,21,yes,1
982,28,male,2923,21,yes,1
38,37,male,1225,10,yes,1
999,27,male,4576,45,yes,1
652,45,male,2303,24,yes,0
770,26,male,2812,24,yes,1
789,27,male,5998,40,yes,0
741,23,male,1048,10,yes,1
130,24,male,8487,48,yes,1
786,40,male,2675,22,yes,1
621,32,male,1530,18,yes,0
230,26,male,4210,36,yes,0
594,40,male,1358,24,yes,0
143,22,male,2462,18,yes,0
407,27,male,1053,15,no,1
452,34,male,2759,12,yes,1
827,36,male,4165,18,yes,0
669,47,male,3017,30,yes,1
479,44,male,1478,15,yes,1
86,27,male,1295,18,yes,1
178,31,male,1963,12,yes,1
422,47,male,958,12,yes,1
842,23,male,1943,18,yes,0
114,35,male,1680,12,yes,1
717,32,male,1505,18,yes,1
688,35,male,2753,9,yes,1
574,27,male,1082,9,yes,1
936,28,male,745,9,yes,0
713,25,male,1138,9,yes,1
692,29,male,2896,24,yes,1
427,46,male,1149,18,yes,1
697,38,male,926,12,yes,1
938,42,male,6288,60,yes,0
277,49,male,1262,12,yes,1
751,23,male,976,18,yes,0
650,50,male,7476,48,yes,1
958,45,male,4006,28,yes,0
95,58,male,15945,54,yes,0
536,75,male,1374,6,yes,1
335,44,male,3384,6,yes,0
778,38,male,5711,36,yes,1
278,32,male,4611,6,yes,0
51,30,male,5965,27,yes,1
436,23,male,660,6,yes,1
861,28,male,2169,18,yes,0
183,50,male,3777,24,yes,1
792,27,male,1221,6,yes,1
379,52,male,362,6,yes,1
360,61,male,1239,18,yes,1
535,33,male,2319,21,yes,0
610,22,male,741,12,yes,0
970,22,male,1514,15,yes,1
465,63,male,2924,24,yes,1
558,27,male,3552,24,yes,0
35,25,male,4746,45,yes,0
234,42,male,1544,4,yes,1
469,35,male,4679,24,yes,1
342,25,male,3213,18,yes,1
11,24,male,4308,48,yes,0
877,28,male,3595,36,yes,1
905,20,male,1107,12,yes,1
459,32,male,4594,18,yes,1
123,63,male,781,10,yes,1
268,45,male,8978,14,no,0
13,60,male,1199,24,yes,0
181,30,male,4455,36,yes,0
526,31,male,1532,15,yes,1
822,41,male,2712,36,yes,0
800,54,male,1597,24,yes,1
228,22,male,1478,9,yes,0
667,27,male,3609,48,yes,1
457,35,male,3386,12,yes,0
306,24,male,4811,30,yes,1
767,31,male,2901,10,yes,1
639,26,male,4370,42,yes,0
388,27,male,2326,15,yes,1
236,23,male,14555,6,yes,0
399,43,male,1516,24,yes,1
569,31,male,6758,48,yes,0
926,21,male,1049,18,yes,1
272,36,male,12169,48,yes,1
857,28,male,3343,15,yes,1
432,36,male,1872,6,yes,1
805,24,male,9271,36,yes,0
997,38,male,804,12,yes,1
493,38,male,368,6,yes,1
316,38,male,708,12,yes,1
201,27,male,1168,12,yes,1
648,38,male,947,24,yes,0
898,33,male,2186,15,yes,1
797,22,male,1258,12,yes,1
109,35,male,1410,14,yes,1
939,46,male,6842,24,yes,1
552,34,male,6999,48,yes,0
12,22,male,1567,12,yes,1
839,46,male,2611,24,yes,1
470,22,male,3092,24,yes,0
295,26,male,9960,48,yes,0
911,25,male,4736,24,yes,0
259,57,male,1154,11,yes,1
647,26,male,1386,12,yes,0
300,54,male,672,6,yes,1
290,26,male,1076,12,no,1
116,30,male,7174,42,yes,0
820,27,male,1101,12,yes,1
338,28,male,4169,24,yes,1
547,32,male,1552,24,yes,1
677,24,male,5595,72,yes,0
760,59,male,5045,15,yes,1
308,24,male,1237,8,yes,0
265,37,male,802,15,yes,0
63,25,male,14421,48,yes,0
415,35,male,5842,36,yes,1
276,26,male,2404,18,yes,1
960,30,male,1740,6,yes,1
902,42,male,10477,36,yes,1
928,58,male,1867,30,yes,1
274,34,male,11998,30,yes,0
136,27,male,8613,27,yes,1
28,34,male,2415,7,yes,1
573,22,male,806,15,yes,1
405,22,male,2039,24,yes,0
285,35,male,10722,47,yes,1
354,46,male,727,10,yes,1
106,39,male,6458,18,yes,0
890,43,male,2442,27,yes,1
288,49,male,1092,12,yes,1
435,25,male,1484,12,yes,0
363,21,male,1766,6,yes,1
559,31,male,1928,18,yes,0
930,24,male,1747,24,no,1
981,33,male,4844,48,yes,0
406,43,male,2197,24,yes,1
115,47,male,3578,48,yes,1
828,47,male,8335,36,yes,0
315,31,male,2746,36,yes,0
324,36,male,1028,18,yes,1
656,41,male,888,12,yes,0
331,30,male,1864,18,yes,0
75,66,male,1526,12,yes,1
711,35,male,1198,6,yes,0
538,42,male,7763,48,yes,0
97,34,male,2622,18,yes,1
443,41,male,719,12,yes,0
872,26,male,1382,24,yes,1
613,22,male,3632,24,no,1
456,36,male,3905,11,yes,1
921,37,male,12749,48,yes,1
204,38,male,1495,12,yes,1
570,23,male,3234,24,yes,0
294,46,male,7629,48,yes,1
628,36,male,4042,42,yes,1
271,37,male,1402,12,yes,1
744,30,male,14179,39,yes,1
367,22,male,3650,18,yes,1
776,37,male,3535,36,yes,1
641,38,male,1308,15,yes,1
909,33,male,3195,9,yes,1
362,36,male,2247,12,yes,1
41,26,male,1158,12,yes,1
273,28,male,3060,48,yes,0
135,38,male,1240,12,yes,1
454,31,male,4817,24,yes,0
412,42,male,2292,12,yes,0
147,51,male,682,12,yes,1
826,33,male,3966,18,yes,0
15,32,male,1282,24,yes,0
462,34,male,3017,12,yes,1
500,27,male,3123,24,yes,0
720,34,male,1337,9,yes,0
303,49,male,1038,10,yes,1
510,26,male,759,12,yes,0
375,37,male,7685,48,yes,0
434,25,male,2136,9,yes,1
973,36,male,7297,60,yes,0
686,27,male,1347,10,yes,1
742,41,male,3160,21,yes,1
142,27,male,3416,27,yes,1
643,33,male,1851,24,yes,1
173,33,male,1414,8,no,1
22,48,male,2241,10,no,1
472,28,male,654,9,yes,0
311,25,male,5511,24,yes,1
660,23,male,1297,12,yes,1
451,29,male,518,6,yes,1
433,33,male,2058,24,yes,1
531,28,male,2631,15,yes,0
576,27,male,2930,12,yes,1
906,24,male,3763,21,no,1
446,34,male,1842,36,yes,0
555,22,male,1331,12,yes,0
537,37,male,3612,18,yes,1
508,28,male,1413,24,yes,1
851,43,male,4042,24,yes,1
637,21,male,15653,60,yes,1
661,23,male,900,12,yes,0
1,22,male,5951,48,yes,0
53,31,male,3378,18,yes,1
913,28,male,2142,11,yes,1
501,42,male,5493,36,yes,1
994,50,male,2390,12,yes,1
567,34,male,2578,24,yes,1
807,65,male,930,12,yes,1
396,55,male,2578,12,yes,1
629,64,male,3832,9,yes,1
404,43,male,2899,18,yes,1
557,29,male,5003,21,yes,0
607,50,male,2671,36,yes,0
339,31,male,1521,10,yes,1
314,29,male,1494,4,no,1
755,32,male,1285,24,yes,0
166,33,male,1131,18,yes,0
585,20,male,2039,18,yes,0
193,29,male,2108,6,yes,1
954,29,male,1893,12,yes,1
513,20,male,585,12,yes,1
411,35,male,7253,33,yes,1
956,49,male,3656,30,yes,1
496,29,male,9034,36,yes,0
57,31,male,9566,36,yes,1
424,25,male,2762,12,yes,0
824,35,male,3780,18,yes,1
658,28,male,4221,30,yes,1
428,20,male,1313,9,yes,1
326,49,male,5801,12,yes,1
187,68,male,1175,16,yes,1
831,23,male,1216,18,yes,0
431,29,male,11328,24,yes,0
599,32,male,3863,24,yes,1
222,30,male,707,12,yes,1
790,39,male,1188,21,yes,0
179,65,male,571,21,yes,1
199,40,male,4297,18,yes,0
292,44,male,6419,24,yes,1
562,29,male,683,6,yes,1
0,67,male,1169,6,yes,1
155,20,male,1282,12,yes,0
159,34,male,1898,6,yes,1
946,30,male,3349,24,yes,0
945,30,male,8358,48,yes,1
783,23,male,836,12,yes,0
560,49,male,2964,24,yes,1
117,27,male,2132,10,no,1
581,49,male,3124,12,yes,1
256,35,male,2684,24,yes,1
611,48,male,1240,10,yes,0
808,55,male,9283,42,yes,1
605,22,male,2828,24,yes,1
649,40,male,684,12,yes,0
972,29,male,1193,24,yes,0
330,75,male,6615,24,yes,1
564,37,male,4712,24,yes,1
773,52,male,2223,24,yes,1
733,28,male,2603,24,yes,1
44,58,male,6143,48,yes,0
886,34,male,2825,24,yes,1
923,30,male,2002,12,yes,1
460,37,male,3620,36,yes,1
603,28,male,3349,36,yes,0
286,26,male,4788,48,yes,1
729,36,male,1275,24,yes,1
747,37,male,1274,12,yes,0
73,41,male,5954,42,yes,1
401,28,male,1887,18,yes,1
769,63,male,1655,12,yes,1
2,49,male,2096,12,yes,1
617,37,male,3676,6,yes,1
